maker,name,price
デル DELL,AI779T-DNLBC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/ダークシャドウグレー],"￥223,800"
MSI エムエスアイ,Creator P50 13TC-251JP [クリエイター向けデスクトップパソコン/Core i5-13400F/メモリ 16GB/SSD 512GB＋HDD 1TB/GeForce RTX 3060/Windows 11 Pro],"￥236,280"
ミニズフォーラム MINISFORUM,GK41-8/128-W10Pro（J4125） [小型デスクトップパソコン/CPU：Intel（R） Celeron（R） Processor J4125/メモリ：8GB/ストレージ：M.2 SSD 128GB/Windows 10 Pro 64bit],"￥40,690"
エイスース ASUS,A3402WBAK-I31215LUO [デスクトップパソコン/ASUS A3402WBAK/23.8型/Core i3-1215U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥139,820"
ECS イーシーエス,LIVAZ3-8/128-W11Pro（N6000） [小型デスクトップパソコン/Celeron Processor N6000/メモリ 8GB/eMMC 128GB/Windows 11 Pro],"￥65,340"
ガレリア GALLERIA,XR736T-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 3060Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥289,980"
HP,767R3PA-AABL [Victus 15L Gaming TG02-0000 G1モデル （i7/16GB/512GB+2TB/Win11/RTX3050）],"￥198,000"
ミニズフォーラム MINISFORUM,MT4UB1-4/64-W10Pro（A4-9120） [小型デスクトップパソコン/A4-9120/メモリ 4GB/eMMC 64GB/Windows 10 Pro],"￥24,280"
HP,613V6PA-AAAA [一体型デスクトップ HP 27-cb0000 AiO G1モデル/Ryzen 5/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home/スターリーホワイト],"￥158,400"
エイスース ASUS,M3700WY-R55625LU [液晶一体型パソコン/Aio/27型/Ryzen 5 5625U/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥169,800"
デル DELL,AI537-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥159,800"
エイスース ASUS,M5401WYAK-WA009W [デスクトップパソコン/ASUS ZenAiO 24 M5401WYAK/23.8型/Ryzen 7 5825U/メモリ 16GB/SSD 512G/HDD 1TB/Windows 11 Home/ホワイト],"￥174,800"
エイスース ASUS,M3700WY-R75825LU [液晶一体型パソコン/Aio/27型/Ryzen 7 5825U/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥204,800"
ミニズフォーラム MINISFORUM,NAB0-16/512-W11Pro（1240P） [ミニパソコン/Core i5-1240P/Iris Xe Graphics eligible/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥104,800"
デル DELL,AI557-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥157,800"
ミニズフォーラム MINISFORUM,UM690-16/512-W11Pro（6900HX） [小型デスクトップパソコン/Ryzen 9 6900HX/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥125,480"
エイスース ASUS,G10CE-I7R2060SBY32 [ゲーミング デスクトップ/ROG Strix/Core i7-11700/GeForce RTX 2060 SUPER/メモリ 32GB/SSD 1TB/Windows 11 Home/グレー],"￥179,800"
デル DELL,AI779T-DNHBWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥245,800"
デル DELL,DX80VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce GTX 1660Ti/ナイトスカイ],"￥229,800"
レノボ･ジャパン Lenovo,90VH004NJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/ブラック],"￥236,500"
ミニズフォーラム MINISFORUM,NPB7-32/1T-W11Pro（13700H） [ミニパソコン/Core i7-13700H/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥142,480"
ミニズフォーラム MINISFORUM,NPB7-32/512-W11Pro（13700H） [ミニパソコン/Core i7-13700H/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥134,000"
ミニズフォーラム MINISFORUM,NAB6-32/512-W11Pro（12650H） [ミニパソコン/Core i7-12650H/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥108,880"
レノボ･ジャパン Lenovo,90VH004KJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥157,300"
レノボ･ジャパン Lenovo,90SM0063JP [デスクトップPC/ IdeaCentre 370i / Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥104,280"
レノボ･ジャパン Lenovo,90VH004MJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥258,500"
MSI エムエスアイ,Infinite X2 13FNUG-035JP [ハイエンドゲーミングデスクトップパソコン/Core i7-13700KF/メモリ 64GB/SSD 1TB/GeForce RTX 4080/Windows 11 Pro],"￥478,000"
ECS イーシーエス,LIVAQ3P-8/128-W10Pro（V1605B） [小型デスクトップパソコン/Ryzen Embedded V1605B/メモリ 8GB/eMMC 128GB/Windows 10 Pro],"￥88,680"
デル DELL,DX90VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce RTX 3060 LHR/ナイトスカイ],"￥222,000"
HP,613V6PA-AAAB [一体型デスクトップ HP 27-cb0000 AiO G1モデル/Ryzen 5/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2019/スターリーホワイト],"￥180,400"
デル DELL,AI577T-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥215,800"
ガレリア GALLERIA,XR747T-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥399,980"
デル DELL,AI557-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥179,800"
ストーム STORM,YDS-ME7AH16160T [ゲーミングデスクトップパソコン/Core i7-12700/メモリ 16GB/SSD 1TB/GeForce RTX 3060 Ti/Windows 11 Home],"￥258,800"
デル DELL,AI759-DNHBWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥186,800"
ミニズフォーラム MINISFORUM,NAB0-32/512-W11Pro（1240P） [ミニパソコン/Core i5-1240P/Iris Xe Graphics eligible/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥119,800"
レノボ･ジャパン Lenovo,90VH004LJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business2021/ブラック],"￥179,300"
ガレリア GALLERIA,RR536-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i5-13400F/RTX 3060/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥229,980"
ECS イーシーエス,LIVAZ3-8/128-W10IoT（N6000） [小型デスクトップパソコン/Pentium N6000/メモリ 8GB/eMMC 128GB/Windows 10 IoT Enterprise LTSC],"￥69,780"
エイスース ASUS,PN53-S7099AD [超小型ミニパソコン/Ryzen 7 7735H/メモリ 16GB/SSD 256GB/Windows 11 Home/ブラック],"￥125,800"
デル DELL,SI70-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i7-13700/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥169,800"
ECS イーシーエス,LIVAQ1D-4/64-W10（N3350） IOT [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC 64bit/ブラック],"￥47,120"
MSI エムエスアイ,PRO DP180 13SA-026JP [ビジネス向けデスクトップパソコン/Core i5-13400F/メモリ 16GB/SSD 512GB/GeForce GTX 1650/Windows 11 Pro/Office Home ＆ Business 2021],"￥206,800"
ECS イーシーエス,LIVAQ1D-4/64-W10Pro（N3350） [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 Pro 64bit/ブラック],"￥30,880"
MSI エムエスアイ,MAGMETA-S-5SI-043JP [ゲーミングデスクトップパソコン/Ryzen 5 5600X/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home],"￥105,340"
